Image 0
Detection time 11.8297 ms
Number of keypoints 1370
Descriptor time 1.8419 ms
Number of matched points 0

Image 1
Detection time 12.3542 ms
Number of keypoints 1301
Descriptor time 1.77197 ms
Number of matched points 125

Image 2
Detection time 12.1946 ms
Number of keypoints 1361
Descriptor time 1.79645 ms
Number of matched points 118

Image 3
Detection time 12.8595 ms
Number of keypoints 1358
Descriptor time 1.76876 ms
Number of matched points 123

Image 4
Detection time 9.96374 ms
Number of keypoints 1333
Descriptor time 1.20485 ms
Number of matched points 120

Image 5
Detection time 12.7008 ms
Number of keypoints 1284
Descriptor time 1.73591 ms
Number of matched points 120

Image 6
Detection time 16.8455 ms
Number of keypoints 1322
Descriptor time 1.78456 ms
Number of matched points 113

Image 7
Detection time 12.1888 ms
Number of keypoints 1366
Descriptor time 1.21926 ms
Number of matched points 114

Image 8
Detection time 12.8105 ms
Number of keypoints 1389
Descriptor time 1.70396 ms
Number of matched points 123

Image 9
Detection time 11.6643 ms
Number of keypoints 1339
Descriptor time 1.75499 ms
Number of matched points 111

