Image 0
Detection time 10.9514 ms
Number of keypoints 1370
Descriptor time 1.80361 ms
Number of matched points 0

Image 1
Detection time 11.718 ms
Number of keypoints 1301
Descriptor time 1.85931 ms
Number of matched points 125

Image 2
Detection time 12.1552 ms
Number of keypoints 1361
Descriptor time 1.70942 ms
Number of matched points 118

Image 3
Detection time 11.4809 ms
Number of keypoints 1358
Descriptor time 2.44264 ms
Number of matched points 123

Image 4
Detection time 9.36265 ms
Number of keypoints 1333
Descriptor time 1.14033 ms
Number of matched points 120

Image 5
Detection time 14.9509 ms
Number of keypoints 1284
Descriptor time 1.80896 ms
Number of matched points 120

Image 6
Detection time 12.3065 ms
Number of keypoints 1322
Descriptor time 1.80558 ms
Number of matched points 113

Image 7
Detection time 10.2767 ms
Number of keypoints 1366
Descriptor time 1.13629 ms
Number of matched points 114

Image 8
Detection time 13.1359 ms
Number of keypoints 1389
Descriptor time 1.67898 ms
Number of matched points 123

Image 9
Detection time 10.9147 ms
Number of keypoints 1339
Descriptor time 1.65856 ms
Number of matched points 111

