Image 0
Detection time 11.5318 ms
Number of keypoints 1370
Descriptor time 1.94115 ms
Number of matched points 0

Image 1
Detection time 12.0733 ms
Number of keypoints 1301
Descriptor time 1.77506 ms
Number of matched points 125

Image 2
Detection time 11.8888 ms
Number of keypoints 1361
Descriptor time 1.86244 ms
Number of matched points 118

Image 3
Detection time 18.8091 ms
Number of keypoints 1358
Descriptor time 1.94161 ms
Number of matched points 123

Image 4
Detection time 11.5185 ms
Number of keypoints 1333
Descriptor time 1.13135 ms
Number of matched points 120

Image 5
Detection time 13.7539 ms
Number of keypoints 1284
Descriptor time 1.764 ms
Number of matched points 120

Image 6
Detection time 11.9661 ms
Number of keypoints 1322
Descriptor time 1.63872 ms
Number of matched points 113

Image 7
Detection time 9.11991 ms
Number of keypoints 1366
Descriptor time 1.14529 ms
Number of matched points 114

Image 8
Detection time 12.9552 ms
Number of keypoints 1389
Descriptor time 1.78573 ms
Number of matched points 123

Image 9
Detection time 12.6608 ms
Number of keypoints 1339
Descriptor time 1.72721 ms
Number of matched points 111

