Image 0
Detection time 11.1243 ms
Number of keypoints 1370
Descriptor time 1.9 ms
Number of matched points 0

Image 1
Detection time 12.1829 ms
Number of keypoints 1301
Descriptor time 1.86457 ms
Number of matched points 125

Image 2
Detection time 12.2352 ms
Number of keypoints 1361
Descriptor time 1.84563 ms
Number of matched points 118

Image 3
Detection time 12.2364 ms
Number of keypoints 1358
Descriptor time 1.85986 ms
Number of matched points 123

Image 4
Detection time 10.239 ms
Number of keypoints 1333
Descriptor time 1.11921 ms
Number of matched points 120

Image 5
Detection time 12.7896 ms
Number of keypoints 1284
Descriptor time 1.7554 ms
Number of matched points 120

Image 6
Detection time 17.6918 ms
Number of keypoints 1322
Descriptor time 1.77513 ms
Number of matched points 113

Image 7
Detection time 10.5568 ms
Number of keypoints 1366
Descriptor time 1.21074 ms
Number of matched points 114

Image 8
Detection time 12.929 ms
Number of keypoints 1389
Descriptor time 1.76161 ms
Number of matched points 123

Image 9
Detection time 13.5884 ms
Number of keypoints 1339
Descriptor time 1.89038 ms
Number of matched points 111

