Image 0
Detection time 10.0365 ms
Number of keypoints 1370
Descriptor time 1.89781 ms
Number of matched points 0

Image 1
Detection time 11.9921 ms
Number of keypoints 1301
Descriptor time 1.92086 ms
Number of matched points 125

Image 2
Detection time 12.3132 ms
Number of keypoints 1361
Descriptor time 1.84434 ms
Number of matched points 118

Image 3
Detection time 12.3289 ms
Number of keypoints 1358
Descriptor time 1.85058 ms
Number of matched points 123

Image 4
Detection time 10.2376 ms
Number of keypoints 1333
Descriptor time 1.19222 ms
Number of matched points 120

Image 5
Detection time 18.3175 ms
Number of keypoints 1284
Descriptor time 1.78279 ms
Number of matched points 120

Image 6
Detection time 14.7803 ms
Number of keypoints 1322
Descriptor time 1.78768 ms
Number of matched points 113

Image 7
Detection time 10.3636 ms
Number of keypoints 1366
Descriptor time 1.16243 ms
Number of matched points 114

Image 8
Detection time 11.9349 ms
Number of keypoints 1389
Descriptor time 1.75103 ms
Number of matched points 123

Image 9
Detection time 12.1627 ms
Number of keypoints 1339
Descriptor time 1.74041 ms
Number of matched points 111

