Image 0
Detection time 11.4181 ms
Number of keypoints 1370
Descriptor time 1.85936 ms
Number of matched points 0

Image 1
Detection time 12.8038 ms
Number of keypoints 1301
Descriptor time 1.78866 ms
Number of matched points 125

Image 2
Detection time 11.2189 ms
Number of keypoints 1361
Descriptor time 1.9407 ms
Number of matched points 118

Image 3
Detection time 13.1577 ms
Number of keypoints 1358
Descriptor time 1.86407 ms
Number of matched points 123

Image 4
Detection time 10.6419 ms
Number of keypoints 1333
Descriptor time 1.14761 ms
Number of matched points 120

Image 5
Detection time 11.8542 ms
Number of keypoints 1284
Descriptor time 1.72583 ms
Number of matched points 120

Image 6
Detection time 19.2175 ms
Number of keypoints 1322
Descriptor time 1.68513 ms
Number of matched points 113

Image 7
Detection time 14.0547 ms
Number of keypoints 1366
Descriptor time 1.17099 ms
Number of matched points 114

Image 8
Detection time 12.6229 ms
Number of keypoints 1389
Descriptor time 1.74703 ms
Number of matched points 123

Image 9
Detection time 12.5128 ms
Number of keypoints 1339
Descriptor time 1.77484 ms
Number of matched points 111

