Image 0
Detection time 11.3204 ms
Number of keypoints 1370
Descriptor time 2.28018 ms
Number of matched points 0

Image 1
Detection time 11.5914 ms
Number of keypoints 1301
Descriptor time 1.77074 ms
Number of matched points 125

Image 2
Detection time 11.3954 ms
Number of keypoints 1361
Descriptor time 1.73736 ms
Number of matched points 118

Image 3
Detection time 12.1374 ms
Number of keypoints 1358
Descriptor time 1.85647 ms
Number of matched points 123

Image 4
Detection time 10.5513 ms
Number of keypoints 1333
Descriptor time 1.07968 ms
Number of matched points 120

Image 5
Detection time 14.2644 ms
Number of keypoints 1284
Descriptor time 1.77786 ms
Number of matched points 120

Image 6
Detection time 13.5518 ms
Number of keypoints 1322
Descriptor time 1.74446 ms
Number of matched points 113

Image 7
Detection time 9.48481 ms
Number of keypoints 1366
Descriptor time 1.13164 ms
Number of matched points 114

Image 8
Detection time 12.5842 ms
Number of keypoints 1389
Descriptor time 1.81871 ms
Number of matched points 123

Image 9
Detection time 12.588 ms
Number of keypoints 1339
Descriptor time 1.73929 ms
Number of matched points 111

