Image 0
Detection time 11.159 ms
Number of keypoints 1370
Descriptor time 1.86344 ms
Number of matched points 0

Image 1
Detection time 15.1138 ms
Number of keypoints 1301
Descriptor time 1.79936 ms
Number of matched points 125

Image 2
Detection time 14.5012 ms
Number of keypoints 1361
Descriptor time 1.80198 ms
Number of matched points 118

Image 3
Detection time 12.923 ms
Number of keypoints 1358
Descriptor time 1.82631 ms
Number of matched points 123

Image 4
Detection time 10.0837 ms
Number of keypoints 1333
Descriptor time 1.17593 ms
Number of matched points 120

Image 5
Detection time 13.1283 ms
Number of keypoints 1284
Descriptor time 1.79611 ms
Number of matched points 120

Image 6
Detection time 12.6733 ms
Number of keypoints 1322
Descriptor time 1.7532 ms
Number of matched points 113

Image 7
Detection time 9.95593 ms
Number of keypoints 1366
Descriptor time 1.12759 ms
Number of matched points 114

Image 8
Detection time 12.5638 ms
Number of keypoints 1389
Descriptor time 2.01128 ms
Number of matched points 123

Image 9
Detection time 13.3599 ms
Number of keypoints 1339
Descriptor time 1.74801 ms
Number of matched points 111

