Image 0
Detection time 11.3625 ms
Number of keypoints 1370
Descriptor time 1.81008 ms
Number of matched points 0

Image 1
Detection time 10.9481 ms
Number of keypoints 1301
Descriptor time 1.84205 ms
Number of matched points 125

Image 2
Detection time 20.7858 ms
Number of keypoints 1361
Descriptor time 1.86434 ms
Number of matched points 118

Image 3
Detection time 12.5307 ms
Number of keypoints 1358
Descriptor time 1.818 ms
Number of matched points 123

Image 4
Detection time 9.61768 ms
Number of keypoints 1333
Descriptor time 1.15156 ms
Number of matched points 120

Image 5
Detection time 12.0398 ms
Number of keypoints 1284
Descriptor time 1.74373 ms
Number of matched points 120

Image 6
Detection time 12.5537 ms
Number of keypoints 1322
Descriptor time 1.77919 ms
Number of matched points 113

Image 7
Detection time 10.1249 ms
Number of keypoints 1366
Descriptor time 1.10438 ms
Number of matched points 114

Image 8
Detection time 12.3877 ms
Number of keypoints 1389
Descriptor time 1.74029 ms
Number of matched points 123

Image 9
Detection time 12.6576 ms
Number of keypoints 1339
Descriptor time 1.75964 ms
Number of matched points 111

