Image 0
Detection time 11.2149 ms
Number of keypoints 1370
Descriptor time 2.05351 ms
Number of matched points 0

Image 1
Detection time 12.067 ms
Number of keypoints 1301
Descriptor time 1.89271 ms
Number of matched points 125

Image 2
Detection time 11.8967 ms
Number of keypoints 1361
Descriptor time 1.75013 ms
Number of matched points 118

Image 3
Detection time 11.9599 ms
Number of keypoints 1358
Descriptor time 1.83757 ms
Number of matched points 123

Image 4
Detection time 10.2828 ms
Number of keypoints 1333
Descriptor time 1.17113 ms
Number of matched points 120

Image 5
Detection time 13.1021 ms
Number of keypoints 1284
Descriptor time 1.71751 ms
Number of matched points 120

Image 6
Detection time 17.139 ms
Number of keypoints 1322
Descriptor time 1.7805 ms
Number of matched points 113

Image 7
Detection time 10.2847 ms
Number of keypoints 1366
Descriptor time 1.18273 ms
Number of matched points 114

Image 8
Detection time 13.1701 ms
Number of keypoints 1389
Descriptor time 1.69624 ms
Number of matched points 123

Image 9
Detection time 12.302 ms
Number of keypoints 1339
Descriptor time 1.78071 ms
Number of matched points 111

