Image 0
Detection time 11.7004 ms
Number of keypoints 1370
Descriptor time 1.93453 ms
Number of matched points 0

Image 1
Detection time 12.9345 ms
Number of keypoints 1301
Descriptor time 1.78987 ms
Number of matched points 125

Image 2
Detection time 11.5846 ms
Number of keypoints 1361
Descriptor time 1.90373 ms
Number of matched points 118

Image 3
Detection time 13.5795 ms
Number of keypoints 1358
Descriptor time 1.95961 ms
Number of matched points 123

Image 4
Detection time 11.247 ms
Number of keypoints 1333
Descriptor time 1.15771 ms
Number of matched points 120

Image 5
Detection time 18.1155 ms
Number of keypoints 1284
Descriptor time 1.76743 ms
Number of matched points 120

Image 6
Detection time 14.9207 ms
Number of keypoints 1322
Descriptor time 1.80379 ms
Number of matched points 113

Image 7
Detection time 10.2626 ms
Number of keypoints 1366
Descriptor time 1.16359 ms
Number of matched points 114

Image 8
Detection time 12.3679 ms
Number of keypoints 1389
Descriptor time 1.9361 ms
Number of matched points 123

Image 9
Detection time 12.75 ms
Number of keypoints 1339
Descriptor time 1.73645 ms
Number of matched points 111

