Image 0
Detection time 12.4416 ms
Number of keypoints 1370
Descriptor time 1.85606 ms
Number of matched points 0

Image 1
Detection time 11.012 ms
Number of keypoints 1301
Descriptor time 1.80211 ms
Number of matched points 125

Image 2
Detection time 11.6791 ms
Number of keypoints 1361
Descriptor time 1.81767 ms
Number of matched points 118

Image 3
Detection time 17.1437 ms
Number of keypoints 1358
Descriptor time 1.78371 ms
Number of matched points 123

Image 4
Detection time 10.4089 ms
Number of keypoints 1333
Descriptor time 1.06894 ms
Number of matched points 120

Image 5
Detection time 11.9636 ms
Number of keypoints 1284
Descriptor time 1.7011 ms
Number of matched points 120

Image 6
Detection time 11.2744 ms
Number of keypoints 1322
Descriptor time 1.63516 ms
Number of matched points 113

Image 7
Detection time 8.84231 ms
Number of keypoints 1366
Descriptor time 1.06853 ms
Number of matched points 114

Image 8
Detection time 11.4091 ms
Number of keypoints 1389
Descriptor time 1.60734 ms
Number of matched points 123

Image 9
Detection time 10.3513 ms
Number of keypoints 1339
Descriptor time 1.67712 ms
Number of matched points 111

