Image 0
Detection time 11.2696 ms
Number of keypoints 1370
Descriptor time 1.90741 ms
Number of matched points 0

Image 1
Detection time 12.186 ms
Number of keypoints 1301
Descriptor time 1.75966 ms
Number of matched points 125

Image 2
Detection time 12.0681 ms
Number of keypoints 1361
Descriptor time 1.85327 ms
Number of matched points 118

Image 3
Detection time 12.3217 ms
Number of keypoints 1358
Descriptor time 1.83035 ms
Number of matched points 123

Image 4
Detection time 10.4279 ms
Number of keypoints 1333
Descriptor time 1.1398 ms
Number of matched points 120

Image 5
Detection time 12.6077 ms
Number of keypoints 1284
Descriptor time 1.75938 ms
Number of matched points 120

Image 6
Detection time 12.1443 ms
Number of keypoints 1322
Descriptor time 1.73925 ms
Number of matched points 113

Image 7
Detection time 14.4593 ms
Number of keypoints 1366
Descriptor time 1.15257 ms
Number of matched points 114

Image 8
Detection time 13.1153 ms
Number of keypoints 1389
Descriptor time 1.76429 ms
Number of matched points 123

Image 9
Detection time 12.7581 ms
Number of keypoints 1339
Descriptor time 1.77069 ms
Number of matched points 111

