Image 0
Detection time 11.2561 ms
Number of keypoints 1370
Descriptor time 1.99857 ms
Number of matched points 0

Image 1
Detection time 11.6834 ms
Number of keypoints 1301
Descriptor time 1.91005 ms
Number of matched points 125

Image 2
Detection time 12.5212 ms
Number of keypoints 1361
Descriptor time 1.81684 ms
Number of matched points 118

Image 3
Detection time 12.5333 ms
Number of keypoints 1358
Descriptor time 1.75296 ms
Number of matched points 123

Image 4
Detection time 10.487 ms
Number of keypoints 1333
Descriptor time 1.1319 ms
Number of matched points 120

Image 5
Detection time 12.2352 ms
Number of keypoints 1284
Descriptor time 1.73349 ms
Number of matched points 120

Image 6
Detection time 12.6236 ms
Number of keypoints 1322
Descriptor time 1.7239 ms
Number of matched points 113

Image 7
Detection time 10.1172 ms
Number of keypoints 1366
Descriptor time 1.23012 ms
Number of matched points 114

Image 8
Detection time 13.1871 ms
Number of keypoints 1389
Descriptor time 1.73502 ms
Number of matched points 123

Image 9
Detection time 13.5069 ms
Number of keypoints 1339
Descriptor time 1.71654 ms
Number of matched points 111

