Image 0
Detection time 10.5823 ms
Number of keypoints 1370
Descriptor time 1.82698 ms
Number of matched points 0

Image 1
Detection time 11.1144 ms
Number of keypoints 1301
Descriptor time 1.80655 ms
Number of matched points 125

Image 2
Detection time 11.0142 ms
Number of keypoints 1361
Descriptor time 1.715 ms
Number of matched points 118

Image 3
Detection time 11.5768 ms
Number of keypoints 1358
Descriptor time 1.67969 ms
Number of matched points 123

Image 4
Detection time 9.52111 ms
Number of keypoints 1333
Descriptor time 1.05023 ms
Number of matched points 120

Image 5
Detection time 11.967 ms
Number of keypoints 1284
Descriptor time 1.67166 ms
Number of matched points 120

Image 6
Detection time 10.9651 ms
Number of keypoints 1322
Descriptor time 1.73974 ms
Number of matched points 113

Image 7
Detection time 8.88688 ms
Number of keypoints 1366
Descriptor time 1.07737 ms
Number of matched points 114

Image 8
Detection time 11.5 ms
Number of keypoints 1389
Descriptor time 1.60567 ms
Number of matched points 123

Image 9
Detection time 10.7181 ms
Number of keypoints 1339
Descriptor time 1.67755 ms
Number of matched points 111

