Image 0
Detection time 10.8754 ms
Number of keypoints 1370
Descriptor time 1.92252 ms
Number of matched points 0

Image 1
Detection time 13.0632 ms
Number of keypoints 1301
Descriptor time 1.81926 ms
Number of matched points 125

Image 2
Detection time 12.608 ms
Number of keypoints 1361
Descriptor time 1.86798 ms
Number of matched points 118

Image 3
Detection time 12.1183 ms
Number of keypoints 1358
Descriptor time 1.87719 ms
Number of matched points 123

Image 4
Detection time 15.5206 ms
Number of keypoints 1333
Descriptor time 1.27779 ms
Number of matched points 120

Image 5
Detection time 14.7772 ms
Number of keypoints 1284
Descriptor time 1.79259 ms
Number of matched points 120

Image 6
Detection time 12.0661 ms
Number of keypoints 1322
Descriptor time 1.62222 ms
Number of matched points 113

Image 7
Detection time 9.55936 ms
Number of keypoints 1366
Descriptor time 1.09358 ms
Number of matched points 114

Image 8
Detection time 11.7859 ms
Number of keypoints 1389
Descriptor time 1.64572 ms
Number of matched points 123

Image 9
Detection time 11.2579 ms
Number of keypoints 1339
Descriptor time 1.67598 ms
Number of matched points 111

