Image 0
Detection time 11.6332 ms
Number of keypoints 1370
Descriptor time 1.7307 ms
Number of matched points 0

Image 1
Detection time 10.4561 ms
Number of keypoints 1301
Descriptor time 1.73584 ms
Number of matched points 125

Image 2
Detection time 11.1323 ms
Number of keypoints 1361
Descriptor time 1.79223 ms
Number of matched points 118

Image 3
Detection time 18.4578 ms
Number of keypoints 1358
Descriptor time 1.8305 ms
Number of matched points 123

Image 4
Detection time 13.9136 ms
Number of keypoints 1333
Descriptor time 1.05463 ms
Number of matched points 120

Image 5
Detection time 11.3911 ms
Number of keypoints 1284
Descriptor time 1.65321 ms
Number of matched points 120

Image 6
Detection time 11.23 ms
Number of keypoints 1322
Descriptor time 1.6828 ms
Number of matched points 113

Image 7
Detection time 8.95041 ms
Number of keypoints 1366
Descriptor time 1.11152 ms
Number of matched points 114

Image 8
Detection time 11.4641 ms
Number of keypoints 1389
Descriptor time 1.64427 ms
Number of matched points 123

Image 9
Detection time 10.7729 ms
Number of keypoints 1339
Descriptor time 1.69345 ms
Number of matched points 111

