Image 0
Detection time 11.65 ms
Number of keypoints 1370
Descriptor time 1.78328 ms
Number of matched points 0

Image 1
Detection time 10.5163 ms
Number of keypoints 1301
Descriptor time 1.77878 ms
Number of matched points 125

Image 2
Detection time 10.6123 ms
Number of keypoints 1361
Descriptor time 1.79877 ms
Number of matched points 118

Image 3
Detection time 11.4775 ms
Number of keypoints 1358
Descriptor time 1.75654 ms
Number of matched points 123

Image 4
Detection time 9.5746 ms
Number of keypoints 1333
Descriptor time 1.06431 ms
Number of matched points 120

Image 5
Detection time 11.6381 ms
Number of keypoints 1284
Descriptor time 1.71317 ms
Number of matched points 120

Image 6
Detection time 11.4854 ms
Number of keypoints 1322
Descriptor time 1.62776 ms
Number of matched points 113

Image 7
Detection time 9.92967 ms
Number of keypoints 1366
Descriptor time 1.09091 ms
Number of matched points 114

Image 8
Detection time 11.2114 ms
Number of keypoints 1389
Descriptor time 1.64346 ms
Number of matched points 123

Image 9
Detection time 10.7178 ms
Number of keypoints 1339
Descriptor time 1.68697 ms
Number of matched points 111

