Image 0
Detection time 11.2049 ms
Number of keypoints 1370
Descriptor time 1.78063 ms
Number of matched points 0

Image 1
Detection time 11.2211 ms
Number of keypoints 1301
Descriptor time 1.78309 ms
Number of matched points 125

Image 2
Detection time 13.1306 ms
Number of keypoints 1361
Descriptor time 1.94432 ms
Number of matched points 118

Image 3
Detection time 13.0857 ms
Number of keypoints 1358
Descriptor time 1.84386 ms
Number of matched points 123

Image 4
Detection time 10.1666 ms
Number of keypoints 1333
Descriptor time 1.13262 ms
Number of matched points 120

Image 5
Detection time 15.0613 ms
Number of keypoints 1284
Descriptor time 1.79083 ms
Number of matched points 120

Image 6
Detection time 15.7237 ms
Number of keypoints 1322
Descriptor time 1.76148 ms
Number of matched points 113

Image 7
Detection time 10.5229 ms
Number of keypoints 1366
Descriptor time 1.21778 ms
Number of matched points 114

Image 8
Detection time 12.7377 ms
Number of keypoints 1389
Descriptor time 1.69057 ms
Number of matched points 123

Image 9
Detection time 13.4462 ms
Number of keypoints 1339
Descriptor time 1.847 ms
Number of matched points 111

