Image 0
Detection time 10.8354 ms
Number of keypoints 1370
Descriptor time 2.0755 ms
Number of matched points 0

Image 1
Detection time 12.0293 ms
Number of keypoints 1301
Descriptor time 1.80933 ms
Number of matched points 125

Image 2
Detection time 12.2239 ms
Number of keypoints 1361
Descriptor time 1.86979 ms
Number of matched points 118

Image 3
Detection time 12.6188 ms
Number of keypoints 1358
Descriptor time 1.96482 ms
Number of matched points 123

Image 4
Detection time 15.2603 ms
Number of keypoints 1333
Descriptor time 1.12088 ms
Number of matched points 120

Image 5
Detection time 12.7374 ms
Number of keypoints 1284
Descriptor time 1.79411 ms
Number of matched points 120

Image 6
Detection time 11.8095 ms
Number of keypoints 1322
Descriptor time 1.72305 ms
Number of matched points 113

Image 7
Detection time 9.79036 ms
Number of keypoints 1366
Descriptor time 1.18474 ms
Number of matched points 114

Image 8
Detection time 13.6775 ms
Number of keypoints 1389
Descriptor time 1.7613 ms
Number of matched points 123

Image 9
Detection time 12.1993 ms
Number of keypoints 1339
Descriptor time 1.69444 ms
Number of matched points 111

