Image 0
Detection time 10.7664 ms
Number of keypoints 1370
Descriptor time 1.78505 ms
Number of matched points 0

Image 1
Detection time 11.7496 ms
Number of keypoints 1301
Descriptor time 2.01324 ms
Number of matched points 125

Image 2
Detection time 11.638 ms
Number of keypoints 1361
Descriptor time 1.79269 ms
Number of matched points 118

Image 3
Detection time 13.1662 ms
Number of keypoints 1358
Descriptor time 1.76802 ms
Number of matched points 123

Image 4
Detection time 17.5828 ms
Number of keypoints 1333
Descriptor time 1.12989 ms
Number of matched points 120

Image 5
Detection time 14.5727 ms
Number of keypoints 1284
Descriptor time 1.78737 ms
Number of matched points 120

Image 6
Detection time 12.8197 ms
Number of keypoints 1322
Descriptor time 1.93891 ms
Number of matched points 113

Image 7
Detection time 11.4512 ms
Number of keypoints 1366
Descriptor time 1.09775 ms
Number of matched points 114

Image 8
Detection time 12.4978 ms
Number of keypoints 1389
Descriptor time 1.83393 ms
Number of matched points 123

Image 9
Detection time 13.0144 ms
Number of keypoints 1339
Descriptor time 1.77608 ms
Number of matched points 111

