Image 0
Detection time 12.7544 ms
Number of keypoints 1370
Descriptor time 1.90227 ms
Number of matched points 0

Image 1
Detection time 12.3159 ms
Number of keypoints 1301
Descriptor time 1.8595 ms
Number of matched points 125

Image 2
Detection time 12.5459 ms
Number of keypoints 1361
Descriptor time 1.85588 ms
Number of matched points 118

Image 3
Detection time 13.0498 ms
Number of keypoints 1358
Descriptor time 1.88318 ms
Number of matched points 123

Image 4
Detection time 10.6632 ms
Number of keypoints 1333
Descriptor time 1.1164 ms
Number of matched points 120

Image 5
Detection time 13.2824 ms
Number of keypoints 1284
Descriptor time 1.80734 ms
Number of matched points 120

Image 6
Detection time 20.6936 ms
Number of keypoints 1322
Descriptor time 1.74563 ms
Number of matched points 113

Image 7
Detection time 13.5581 ms
Number of keypoints 1366
Descriptor time 1.12511 ms
Number of matched points 114

Image 8
Detection time 12.1793 ms
Number of keypoints 1389
Descriptor time 1.82881 ms
Number of matched points 123

Image 9
Detection time 12.4319 ms
Number of keypoints 1339
Descriptor time 1.96434 ms
Number of matched points 111

