Image 0
Detection time 11.1528 ms
Number of keypoints 1370
Descriptor time 1.97885 ms
Number of matched points 0

Image 1
Detection time 12.7136 ms
Number of keypoints 1301
Descriptor time 1.81106 ms
Number of matched points 125

Image 2
Detection time 12.177 ms
Number of keypoints 1361
Descriptor time 1.96073 ms
Number of matched points 118

Image 3
Detection time 18.7695 ms
Number of keypoints 1358
Descriptor time 1.83716 ms
Number of matched points 123

Image 4
Detection time 11.4382 ms
Number of keypoints 1333
Descriptor time 1.4453 ms
Number of matched points 120

Image 5
Detection time 12.631 ms
Number of keypoints 1284
Descriptor time 1.80829 ms
Number of matched points 120

Image 6
Detection time 12.9076 ms
Number of keypoints 1322
Descriptor time 1.82729 ms
Number of matched points 113

Image 7
Detection time 10.5971 ms
Number of keypoints 1366
Descriptor time 1.14541 ms
Number of matched points 114

Image 8
Detection time 12.6623 ms
Number of keypoints 1389
Descriptor time 1.86984 ms
Number of matched points 123

Image 9
Detection time 20.11 ms
Number of keypoints 1339
Descriptor time 1.83252 ms
Number of matched points 111

