Image 0
Detection time 11.86 ms
Number of keypoints 1370
Descriptor time 1.80701 ms
Number of matched points 0

Image 1
Detection time 11.565 ms
Number of keypoints 1301
Descriptor time 1.79715 ms
Number of matched points 125

Image 2
Detection time 12.3848 ms
Number of keypoints 1361
Descriptor time 1.77341 ms
Number of matched points 118

Image 3
Detection time 12.125 ms
Number of keypoints 1358
Descriptor time 1.77052 ms
Number of matched points 123

Image 4
Detection time 17.1089 ms
Number of keypoints 1333
Descriptor time 1.2596 ms
Number of matched points 120

Image 5
Detection time 12.9392 ms
Number of keypoints 1284
Descriptor time 1.87345 ms
Number of matched points 120

Image 6
Detection time 12.4465 ms
Number of keypoints 1322
Descriptor time 1.74476 ms
Number of matched points 113

Image 7
Detection time 9.85695 ms
Number of keypoints 1366
Descriptor time 1.25376 ms
Number of matched points 114

Image 8
Detection time 12.7815 ms
Number of keypoints 1389
Descriptor time 1.79307 ms
Number of matched points 123

Image 9
Detection time 13.6054 ms
Number of keypoints 1339
Descriptor time 1.76901 ms
Number of matched points 111

