Image 0
Detection time 11.3272 ms
Number of keypoints 1370
Descriptor time 1.77469 ms
Number of matched points 0

Image 1
Detection time 11.0026 ms
Number of keypoints 1301
Descriptor time 1.68735 ms
Number of matched points 125

Image 2
Detection time 10.2521 ms
Number of keypoints 1361
Descriptor time 1.75918 ms
Number of matched points 118

Image 3
Detection time 11.5774 ms
Number of keypoints 1358
Descriptor time 1.72569 ms
Number of matched points 123

Image 4
Detection time 9.84097 ms
Number of keypoints 1333
Descriptor time 1.06773 ms
Number of matched points 120

Image 5
Detection time 11.4848 ms
Number of keypoints 1284
Descriptor time 1.68373 ms
Number of matched points 120

Image 6
Detection time 11.375 ms
Number of keypoints 1322
Descriptor time 1.75431 ms
Number of matched points 113

Image 7
Detection time 15.6995 ms
Number of keypoints 1366
Descriptor time 1.1179 ms
Number of matched points 114

Image 8
Detection time 11.6371 ms
Number of keypoints 1389
Descriptor time 1.59447 ms
Number of matched points 123

Image 9
Detection time 10.6778 ms
Number of keypoints 1339
Descriptor time 1.65606 ms
Number of matched points 111

