Image 0
Detection time 10.947 ms
Number of keypoints 1370
Descriptor time 1.76533 ms
Number of matched points 0

Image 1
Detection time 11.0661 ms
Number of keypoints 1301
Descriptor time 1.65148 ms
Number of matched points 125

Image 2
Detection time 10.4996 ms
Number of keypoints 1361
Descriptor time 1.70152 ms
Number of matched points 118

Image 3
Detection time 10.8974 ms
Number of keypoints 1358
Descriptor time 1.71696 ms
Number of matched points 123

Image 4
Detection time 9.63496 ms
Number of keypoints 1333
Descriptor time 1.05034 ms
Number of matched points 120

Image 5
Detection time 11.4495 ms
Number of keypoints 1284
Descriptor time 1.70033 ms
Number of matched points 120

Image 6
Detection time 11.2249 ms
Number of keypoints 1322
Descriptor time 1.69583 ms
Number of matched points 113

Image 7
Detection time 9.7782 ms
Number of keypoints 1366
Descriptor time 1.08646 ms
Number of matched points 114

Image 8
Detection time 11.8844 ms
Number of keypoints 1389
Descriptor time 1.70897 ms
Number of matched points 123

Image 9
Detection time 11.7902 ms
Number of keypoints 1339
Descriptor time 1.71256 ms
Number of matched points 111

