Image 0
Detection time 13.0358 ms
Number of keypoints 1370
Descriptor time 1.2957 ms
Number of matched points 0

Image 1
Detection time 12.3755 ms
Number of keypoints 1301
Descriptor time 1.79135 ms
Number of matched points 125

Image 2
Detection time 11.3838 ms
Number of keypoints 1361
Descriptor time 1.78744 ms
Number of matched points 118

Image 3
Detection time 11.1746 ms
Number of keypoints 1358
Descriptor time 1.924 ms
Number of matched points 123

Image 4
Detection time 11.8095 ms
Number of keypoints 1333
Descriptor time 1.63579 ms
Number of matched points 120

Image 5
Detection time 12.2967 ms
Number of keypoints 1284
Descriptor time 1.70503 ms
Number of matched points 120

Image 6
Detection time 10.9439 ms
Number of keypoints 1322
Descriptor time 1.80352 ms
Number of matched points 113

Image 7
Detection time 15.0951 ms
Number of keypoints 1366
Descriptor time 1.74551 ms
Number of matched points 114

Image 8
Detection time 11.4284 ms
Number of keypoints 1389
Descriptor time 1.66335 ms
Number of matched points 123

Image 9
Detection time 10.9013 ms
Number of keypoints 1339
Descriptor time 1.64921 ms
Number of matched points 111

