Image 0
Detection time 17.2666 ms
Number of keypoints 1370
Descriptor time 1.73677 ms
Number of matched points 0

Image 1
Detection time 11.2909 ms
Number of keypoints 1301
Descriptor time 1.70608 ms
Number of matched points 125

Image 2
Detection time 13.5463 ms
Number of keypoints 1361
Descriptor time 1.74557 ms
Number of matched points 118

Image 3
Detection time 11.5867 ms
Number of keypoints 1358
Descriptor time 1.70717 ms
Number of matched points 123

Image 4
Detection time 9.02252 ms
Number of keypoints 1333
Descriptor time 1.06641 ms
Number of matched points 120

Image 5
Detection time 11.3018 ms
Number of keypoints 1284
Descriptor time 1.65413 ms
Number of matched points 120

Image 6
Detection time 10.9024 ms
Number of keypoints 1322
Descriptor time 1.68351 ms
Number of matched points 113

Image 7
Detection time 9.57784 ms
Number of keypoints 1366
Descriptor time 1.05569 ms
Number of matched points 114

Image 8
Detection time 11.5565 ms
Number of keypoints 1389
Descriptor time 1.63328 ms
Number of matched points 123

Image 9
Detection time 13.7587 ms
Number of keypoints 1339
Descriptor time 1.76835 ms
Number of matched points 111

