Image 0
Detection time 14.7511 ms
Number of keypoints 1370
Descriptor time 1.77097 ms
Number of matched points 0

Image 1
Detection time 12.0246 ms
Number of keypoints 1301
Descriptor time 1.79775 ms
Number of matched points 125

Image 2
Detection time 11.595 ms
Number of keypoints 1361
Descriptor time 1.77872 ms
Number of matched points 118

Image 3
Detection time 11.5699 ms
Number of keypoints 1358
Descriptor time 1.82711 ms
Number of matched points 123

Image 4
Detection time 9.70591 ms
Number of keypoints 1333
Descriptor time 1.11385 ms
Number of matched points 120

Image 5
Detection time 13.2813 ms
Number of keypoints 1284
Descriptor time 1.76817 ms
Number of matched points 120

Image 6
Detection time 11.8642 ms
Number of keypoints 1322
Descriptor time 1.71959 ms
Number of matched points 113

Image 7
Detection time 9.67377 ms
Number of keypoints 1366
Descriptor time 1.17988 ms
Number of matched points 114

Image 8
Detection time 12.5141 ms
Number of keypoints 1389
Descriptor time 1.67125 ms
Number of matched points 123

Image 9
Detection time 11.2543 ms
Number of keypoints 1339
Descriptor time 1.67846 ms
Number of matched points 111

