Image 0
Detection time 11.5413 ms
Number of keypoints 1370
Descriptor time 1.96086 ms
Number of matched points 0

Image 1
Detection time 15.6796 ms
Number of keypoints 1301
Descriptor time 1.80747 ms
Number of matched points 125

Image 2
Detection time 15.4594 ms
Number of keypoints 1361
Descriptor time 1.8188 ms
Number of matched points 118

Image 3
Detection time 12.9363 ms
Number of keypoints 1358
Descriptor time 1.81417 ms
Number of matched points 123

Image 4
Detection time 10.4656 ms
Number of keypoints 1333
Descriptor time 1.14904 ms
Number of matched points 120

Image 5
Detection time 12.1863 ms
Number of keypoints 1284
Descriptor time 1.71337 ms
Number of matched points 120

Image 6
Detection time 12.4147 ms
Number of keypoints 1322
Descriptor time 1.76085 ms
Number of matched points 113

Image 7
Detection time 10.184 ms
Number of keypoints 1366
Descriptor time 1.19231 ms
Number of matched points 114

Image 8
Detection time 12.305 ms
Number of keypoints 1389
Descriptor time 1.76643 ms
Number of matched points 123

Image 9
Detection time 18.4778 ms
Number of keypoints 1339
Descriptor time 1.74654 ms
Number of matched points 111

