Image 0
Detection time 11.3425 ms
Number of keypoints 1370
Descriptor time 1.79747 ms
Number of matched points 0

Image 1
Detection time 12.1824 ms
Number of keypoints 1301
Descriptor time 1.80828 ms
Number of matched points 125

Image 2
Detection time 12.8328 ms
Number of keypoints 1361
Descriptor time 1.82629 ms
Number of matched points 118

Image 3
Detection time 13.155 ms
Number of keypoints 1358
Descriptor time 1.8691 ms
Number of matched points 123

Image 4
Detection time 10.2818 ms
Number of keypoints 1333
Descriptor time 1.13696 ms
Number of matched points 120

Image 5
Detection time 15.0463 ms
Number of keypoints 1284
Descriptor time 1.82841 ms
Number of matched points 120

Image 6
Detection time 13.5618 ms
Number of keypoints 1322
Descriptor time 2.08137 ms
Number of matched points 113

Image 7
Detection time 10.1806 ms
Number of keypoints 1366
Descriptor time 1.16135 ms
Number of matched points 114

Image 8
Detection time 12.7584 ms
Number of keypoints 1389
Descriptor time 1.70669 ms
Number of matched points 123

Image 9
Detection time 12.5397 ms
Number of keypoints 1339
Descriptor time 1.75891 ms
Number of matched points 111

