Image 0
Detection time 11.4072 ms
Number of keypoints 1370
Descriptor time 1.84186 ms
Number of matched points 0

Image 1
Detection time 14.3364 ms
Number of keypoints 1301
Descriptor time 1.82344 ms
Number of matched points 125

Image 2
Detection time 14.4549 ms
Number of keypoints 1361
Descriptor time 1.87936 ms
Number of matched points 118

Image 3
Detection time 12.2375 ms
Number of keypoints 1358
Descriptor time 1.82985 ms
Number of matched points 123

Image 4
Detection time 10.4578 ms
Number of keypoints 1333
Descriptor time 1.22033 ms
Number of matched points 120

Image 5
Detection time 13.1558 ms
Number of keypoints 1284
Descriptor time 1.77337 ms
Number of matched points 120

Image 6
Detection time 11.868 ms
Number of keypoints 1322
Descriptor time 1.76383 ms
Number of matched points 113

Image 7
Detection time 9.96239 ms
Number of keypoints 1366
Descriptor time 1.13091 ms
Number of matched points 114

Image 8
Detection time 13.8118 ms
Number of keypoints 1389
Descriptor time 1.83691 ms
Number of matched points 123

Image 9
Detection time 12.4113 ms
Number of keypoints 1339
Descriptor time 1.88053 ms
Number of matched points 111

