Image 0
Detection time 21.8878 ms
Number of keypoints 1370
Descriptor time 1.85767 ms
Number of matched points 0

Image 1
Detection time 12.0564 ms
Number of keypoints 1301
Descriptor time 1.7683 ms
Number of matched points 125

Image 2
Detection time 12.3884 ms
Number of keypoints 1361
Descriptor time 1.83679 ms
Number of matched points 118

Image 3
Detection time 12.5315 ms
Number of keypoints 1358
Descriptor time 1.78606 ms
Number of matched points 123

Image 4
Detection time 10.5505 ms
Number of keypoints 1333
Descriptor time 1.17201 ms
Number of matched points 120

Image 5
Detection time 12.9475 ms
Number of keypoints 1284
Descriptor time 1.79084 ms
Number of matched points 120

Image 6
Detection time 13.7842 ms
Number of keypoints 1322
Descriptor time 1.67333 ms
Number of matched points 113

Image 7
Detection time 9.45895 ms
Number of keypoints 1366
Descriptor time 1.10535 ms
Number of matched points 114

Image 8
Detection time 11.8945 ms
Number of keypoints 1389
Descriptor time 1.68375 ms
Number of matched points 123

Image 9
Detection time 13.1198 ms
Number of keypoints 1339
Descriptor time 1.77223 ms
Number of matched points 111

