Image 0
Detection time 11.431 ms
Number of keypoints 1370
Descriptor time 3.12169 ms
Number of matched points 0

Image 1
Detection time 11.6064 ms
Number of keypoints 1301
Descriptor time 1.88857 ms
Number of matched points 125

Image 2
Detection time 11.5642 ms
Number of keypoints 1361
Descriptor time 1.80343 ms
Number of matched points 118

Image 3
Detection time 12.2045 ms
Number of keypoints 1358
Descriptor time 1.88761 ms
Number of matched points 123

Image 4
Detection time 10.38 ms
Number of keypoints 1333
Descriptor time 1.12014 ms
Number of matched points 120

Image 5
Detection time 13.2528 ms
Number of keypoints 1284
Descriptor time 1.84305 ms
Number of matched points 120

Image 6
Detection time 12.838 ms
Number of keypoints 1322
Descriptor time 1.79855 ms
Number of matched points 113

Image 7
Detection time 9.93832 ms
Number of keypoints 1366
Descriptor time 1.1712 ms
Number of matched points 114

Image 8
Detection time 20.8413 ms
Number of keypoints 1389
Descriptor time 1.83939 ms
Number of matched points 123

Image 9
Detection time 13.099 ms
Number of keypoints 1339
Descriptor time 2.03627 ms
Number of matched points 111

